Index,AI0(V)
724,-0.12812
725,-0.1203
726,-0.1256
727,-0.12459
728,-0.12269
729,-0.12566
730,-0.12496
731,-0.122
732,-0.12118
733,-0.1244
734,-0.12843
735,-0.12534
736,-0.12768
737,-0.1266
738,-0.12395
739,-0.12755
740,-0.12799
741,-0.13014
742,-0.12692
743,-0.12736
744,-0.1278
745,-0.12213
746,-0.12503
747,-0.12774
748,-0.12862
749,-0.12427
750,-0.12534
751,-0.12604
752,-0.12402
753,-0.12755
754,-0.12604
755,-0.12793
756,-0.12566
757,-0.12648
758,-0.12459
759,-0.12932
760,-0.12787
761,-0.12572
762,-0.12528
763,-0.12522
764,-0.12768
765,-0.12736
766,-0.12389
767,-0.12673
768,-0.12749
769,-0.12787
770,-0.12263
771,-0.12812
772,-0.1244
773,-0.12313
774,-0.12989
775,-0.1266
776,-0.11941
777,-0.12705
778,-0.12484
779,-0.1232
780,-0.12395
781,-0.12547
782,-0.1261
783,-0.12736
784,-0.12591
785,-0.12768
786,-0.12686
787,-0.1256
788,-0.12572
789,-0.12358
790,-0.12881
791,-0.12471
792,-0.12869
793,-0.12547
794,-0.129
795,-0.12749
796,-0.13001
797,-0.12824
798,-0.12351
799,-0.12509
800,-0.13026
801,-0.13007
802,-0.12112
803,-0.1237
804,-0.1261
805,-0.12913
806,-0.12377
807,-0.12459
808,-0.12503
809,-0.12351
810,-0.12313
811,-0.12408
812,-0.12673
813,-0.12629
814,-0.1285
815,-0.13108
816,-0.12377
817,-0.12099
818,-0.12667
819,-0.12547
820,-0.13077
821,-0.12824
822,-0.12282
823,-0.12206
824,-0.12465
825,-0.12471
826,-0.12667
827,-0.12572
828,-0.12503
829,-0.12667
830,-0.12919
831,-0.12377
832,-0.12471
833,-0.12919
834,-0.12749
835,-0.12616
836,-0.12761
837,-0.12875
838,-0.12667
839,-0.12402
840,-0.12276
841,-0.12698
842,-0.1285
843,-0.12616
844,-0.12768
845,-0.12541
846,-0.12433
847,-0.1244
848,-0.12421
849,-0.12478
850,-0.12541
851,-0.12219
852,-0.12869
853,-0.13064
854,-0.12616
855,-0.1249
856,-0.12698
857,-0.12938
858,-0.12799
859,-0.12623
860,-0.12667
861,-0.12572
862,-0.12528
863,-0.12421
864,-0.12742
865,-0.129
866,-0.12913
867,-0.12572
868,-0.1244
869,-0.12541
870,-0.12541
871,-0.129
872,-0.1297
873,-0.12679
874,-0.12433
875,-0.12484
876,-0.12875
877,-0.12843
878,-0.13108
879,-0.12206
880,-0.12187
881,-0.12957
882,-0.12572
883,-0.12787
884,-0.12673
885,-0.12326
886,-0.12578
887,-0.12219
